Step,Value
0,0.6860467791557312
9,0.6570342183113098
14,0.632297158241272
16,0.6372750997543335
17,0.5980117917060852
22,0.6431071758270264
25,0.5992931127548218
34,0.5665795803070068
40,0.7012579441070557
47,0.5051564574241638
73,0.6101785898208618
82,0.5994684100151062
89,0.671680748462677
91,0.6011587381362915
93,0.5824524760246277
99,0.5217825174331665
103,0.6174630522727966
122,0.5293646454811096
146,0.6083321571350098
160,0.5304622650146484
173,0.545608401298523
194,0.5339977741241455
204,0.5113945007324219
208,0.5048896074295044
231,0.4432187080383301
265,0.5406683683395386
295,0.5026206374168396
296,0.5143471360206604
297,0.5313865542411804
308,0.5436781644821167
310,0.5854589939117432
316,0.5402878522872925
325,0.6013306975364685
336,0.5003299713134766
338,0.562309980392456
340,0.6137011647224426
369,0.4930126368999481
387,0.3897043466567993
389,0.4524385333061218
402,0.4411557614803314
406,0.5513553619384766
412,0.4946592450141907
416,0.5103399753570557
418,0.4222583770751953
426,0.44241684675216675
444,0.5947846174240112
450,0.46534836292266846
451,0.427887499332428
463,0.3990846574306488
476,0.4875469207763672
477,0.5909351110458374
489,0.4800945520401001
491,0.42669209837913513
492,0.42808693647384644
502,0.3938773274421692
514,0.39436376094818115
515,0.4777910113334656
526,0.44448205828666687
549,0.5405477285385132
559,0.3840124011039734
567,0.4660581946372986
569,0.48479312658309937
579,0.4019826352596283
580,0.4452364444732666
582,0.5995254516601562
583,0.42814385890960693
587,0.39890795946121216
589,0.40852078795433044
599,0.4640096127986908
600,0.4273492097854614
612,0.40994569659233093
630,0.3343479335308075
631,0.3868831992149353
649,0.39632779359817505
656,0.32383519411087036
672,0.39281198382377625
675,0.43855032324790955
703,0.3707829713821411
704,0.39684900641441345
713,0.4564870297908783
716,0.377824068069458
726,0.4142347574234009
745,0.42530983686447144
767,0.47270092368125916
779,0.5670011043548584
786,0.4104717969894409
802,0.4288468062877655
807,0.4050670564174652
819,0.41487908363342285
830,0.343838632106781
835,0.35202354192733765
847,0.37958940863609314
856,0.34040138125419617
857,0.4298939108848572
858,0.4490445554256439
864,0.42333754897117615
874,0.37320491671562195
881,0.43658000230789185
882,0.3899570107460022
885,0.4383948743343353
894,0.3680763244628906
897,0.3884384036064148
901,0.4323127269744873
903,0.3065629005432129
904,0.38078638911247253
922,0.4486948847770691
932,0.31508180499076843
934,0.38290929794311523
939,0.5255258679389954
946,0.2906653583049774
948,0.44571995735168457
953,0.34409576654434204
958,0.3465060591697693
972,0.4137711524963379
978,0.41338253021240234
979,0.3874303102493286
988,0.36745214462280273
999,0.3721179664134979
1030,0.2748473286628723
1034,0.3130928575992584
1048,0.33657294511795044
1054,0.3027632236480713
1057,0.3064820468425751
1060,0.3992498815059662
1063,0.32582396268844604
1073,0.3556973338127136
1081,0.34804797172546387
1088,0.36446747183799744
1096,0.34082528948783875
1101,0.4209422469139099
1103,0.3730011582374573
1110,0.25287383794784546
1126,0.3749614953994751
1148,0.36754727363586426
1149,0.29780644178390503
1178,0.3009318709373474
1186,0.36308926343917847
1196,0.43597280979156494
1208,0.2882581651210785
1214,0.38694894313812256
1219,0.3394245505332947
1223,0.389629602432251
1232,0.4336318075656891
1234,0.43014830350875854
1253,0.3457375764846802
1263,0.38058632612228394
1277,0.285494327545166
1278,0.2743861973285675
1322,0.30038049817085266
1343,0.36444634199142456
1345,0.26961660385131836
1400,0.27429884672164917
1402,0.28042829036712646
1405,0.3099988102912903
1409,0.47566553950309753
1411,0.3704798221588135
1418,0.3018645942211151
1423,0.3213651478290558
1433,0.24836766719818115
1450,0.3466948866844177
1452,0.2634021043777466
1474,0.30746015906333923
1506,0.34526562690734863
1507,0.34415149688720703
1513,0.35897010564804077
1517,0.2625812292098999
1518,0.3370608687400818
1519,0.3613196313381195
1521,0.32540273666381836
1530,0.27868911623954773
1531,0.22043833136558533
1534,0.285391628742218
1545,0.250890851020813
1550,0.30461546778678894
1553,0.25178736448287964
1563,0.3720884919166565
1564,0.3135424256324768
1577,0.25112593173980713
1584,0.31406503915786743
1586,0.289911687374115
1593,0.23073983192443848
1604,0.22187505662441254
1611,0.24801620841026306
1620,0.32328617572784424
1627,0.572664737701416
1647,0.2822202146053314
1656,0.31289854645729065
1660,0.2677602767944336
1673,0.34307631850242615
1675,0.3086451292037964
1682,0.32289567589759827
1718,0.40708979964256287
1732,0.24252121150493622
1737,0.2626085877418518
1748,0.33740925788879395
1769,0.20057575404644012
1787,0.3142305612564087
1793,0.19674460589885712
1802,0.24712972342967987
1813,0.27775681018829346
1833,0.2650793492794037
1835,0.2727977931499481
1851,0.3366529643535614
1856,0.2952643632888794
1864,0.24958573281764984
1872,0.2923063039779663
1875,0.27526235580444336
1892,0.41804417967796326
1901,0.2538481652736664
1904,0.41235679388046265
1906,0.20917871594429016
1912,0.16740068793296814
1932,0.31754690408706665
1934,0.2978931963443756
1936,0.24985715746879578
1938,0.3221476078033447
1954,0.2991997003555298
1959,0.23111771047115326
1961,0.22504007816314697
1968,0.22693821787834167
1971,0.2458968609571457
1976,0.21982096135616302
1977,0.47240573167800903
1986,0.28455567359924316
2004,0.1963227242231369
2009,0.22727715969085693
2022,0.1852770745754242
2025,0.2533982992172241
2035,0.2691024839878082
2040,0.29584014415740967
2051,0.3226609230041504
2086,0.2153894156217575
2096,0.306466668844223
2105,0.2510385513305664
2119,0.2292708158493042
2133,0.2634722590446472
2139,0.276852011680603
2150,0.38470348715782166
2151,0.3058747947216034
2153,0.24310380220413208
2177,0.19505473971366882
2182,0.16609196364879608
2194,0.22676120698451996
2195,0.2901639938354492
2198,0.24872462451457977
2199,0.2654847502708435
2207,0.26235759258270264
2211,0.27123337984085083
2216,0.16508758068084717
2231,0.20731621980667114
2241,0.2635514736175537
2250,0.2811599671840668
2258,0.2624678611755371
2263,0.1937541961669922
2275,0.22570368647575378
2280,0.2798885703086853
2293,0.2204175889492035
2303,0.2521655559539795
2306,0.2736075818538666
2312,0.2055416852235794
2325,0.2115975320339203
2328,0.20328694581985474
2334,0.24656593799591064
2345,0.22011832892894745
2368,0.29776132106781006
2377,0.25010329484939575
2382,0.1672438234090805
2387,0.2556648254394531
2388,0.2769376039505005
2389,0.23340463638305664
2395,0.2911224365234375
2410,0.24166595935821533
2413,0.34027308225631714
2425,0.2830450236797333
2433,0.26175984740257263
2434,0.23119764029979706
2435,0.23419368267059326
2437,0.20422467589378357
2453,0.22081363201141357
2455,0.17098306119441986
2456,0.2495114505290985
2469,0.22967824339866638
2478,0.2425842136144638
2487,0.3145546615123749
2494,0.2710946798324585
2508,0.3414393663406372
2514,0.26261666417121887
2516,0.1638232320547104
2521,0.1971248835325241
2525,0.139770045876503
2527,0.24144642055034637
