Step,Value
0,0.3645833432674408
1,0.40625
2,0.2916666865348816
3,0.4479166865348816
4,0.34375
5,0.2291666716337204
6,0.375
7,0.40625
8,0.48000001907348633
9,0.5416666865348816
10,0.59375
11,0.53125
12,0.5520833730697632
13,0.75
14,0.7916666865348816
15,0.625
16,0.7916666865348816
17,0.7599999904632568
18,0.65625
19,0.65625
20,0.875
21,0.5625
22,0.6875
23,0.75
24,0.65625
25,0.625
26,0.7599999904632568
27,0.71875
28,0.625
29,0.5
30,0.75
31,0.78125
32,0.71875
33,0.8125
34,0.78125
35,0.48000001907348633
36,0.65625
37,0.71875
38,0.65625
39,0.6875
40,0.78125
41,0.75
42,0.59375
43,0.75
44,0.6000000238418579
45,0.75
46,0.59375
47,0.65625
48,0.59375
49,0.65625
50,0.90625
51,0.78125
52,0.71875
53,0.5200000405311584
54,0.65625
55,0.71875
56,0.6875
57,0.59375
58,0.6875
59,0.65625
60,0.75
61,0.71875
62,0.7599999904632568
63,0.78125
64,0.65625
65,0.65625
66,0.8125
67,0.6875
68,0.625
69,0.6875
70,0.65625
71,0.6399999856948853
72,0.78125
73,0.78125
74,0.75
75,0.75
76,0.75
77,0.6875
78,0.6875
79,0.46875
80,0.5200000405311584
81,0.8125
82,0.71875
83,0.65625
84,0.65625
85,0.65625
86,0.5625
87,0.6875
88,0.78125
89,0.6800000071525574
