Step,Value
0,0.5
1,0.53125
2,0.6041666865348816
3,0.5625
4,0.71875
5,0.5625
6,0.75
7,0.71875
8,0.6800000071525574
9,0.7604166865348816
10,0.7083333730697632
11,0.625
12,0.71875
13,0.71875
14,0.78125
15,0.6145833730697632
16,0.75
17,0.800000011920929
18,0.71875
19,0.6875
20,0.6875
21,0.6875
22,0.84375
23,0.75
24,0.75
25,0.71875
26,0.6800000071525574
27,0.71875
28,0.625
29,0.6875
30,0.59375
31,0.75
32,0.8125
33,0.75
34,0.78125
35,0.8400000333786011
36,0.5625
37,0.84375
38,0.78125
39,0.65625
40,0.78125
41,0.84375
42,0.71875
43,0.625
44,0.7200000286102295
45,0.78125
46,0.75
47,0.71875
48,0.78125
49,0.53125
50,0.75
51,0.8125
52,0.78125
53,0.6000000238418579
54,0.8125
55,0.71875
56,0.71875
57,0.75
58,0.65625
59,0.65625
60,0.75
61,0.78125
62,0.6800000071525574
63,0.65625
64,0.75
65,0.65625
66,0.71875
67,0.71875
68,0.8125
69,0.71875
70,0.78125
71,0.7200000286102295
72,0.8125
73,0.6875
74,0.6875
75,0.71875
76,0.75
77,0.625
78,0.75
79,0.8125
80,0.6800000071525574
81,0.6875
82,0.75
83,0.8125
84,0.6875
85,0.78125
86,0.6875
87,0.78125
88,0.65625
89,0.6800000071525574
