Step,Value
0,0.5833333730697632
1,0.5104166865348816
2,0.5520833730697632
3,0.59375
4,0.5104166865348816
5,0.6875
6,0.5729166865348816
7,0.7604166865348816
8,0.54666668176651
9,0.6458333730697632
10,0.7395833730697632
11,0.46875
12,0.875
13,0.65625
14,0.6354166865348816
15,0.71875
16,0.875
17,0.6399999856948853
18,0.75
19,0.78125
20,0.6875
21,0.59375
22,0.75
23,0.6875
24,0.625
25,0.71875
26,0.7200000286102295
27,0.78125
28,0.65625
29,0.53125
30,0.75
31,0.75
32,0.71875
33,0.78125
34,0.6875
35,0.6399999856948853
36,0.8125
37,0.625
38,0.65625
39,0.78125
40,0.6875
41,0.78125
42,0.65625
43,0.6875
44,0.6000000238418579
45,0.625
46,0.78125
47,0.75
48,0.65625
49,0.65625
50,0.71875
51,0.71875
52,0.71875
53,0.6800000071525574
54,0.6875
55,0.625
56,0.75
57,0.5625
58,0.75
59,0.84375
60,0.75
61,0.625
62,0.7200000286102295
63,0.75
64,0.59375
65,0.71875
66,0.75
67,0.78125
68,0.8125
69,0.6875
70,0.53125
71,0.6800000071525574
72,0.875
73,0.78125
74,0.59375
75,0.78125
76,0.5
77,0.65625
78,0.6875
79,0.65625
80,0.800000011920929
81,0.71875
82,0.75
83,0.6875
84,0.53125
85,0.71875
86,0.78125
87,0.6875
88,0.84375
89,0.5600000023841858
