Step,Value
0,0.6458333730697632
1,0.6666666865348816
2,0.5416666865348816
3,0.6875
4,0.6458333730697632
5,0.6458333730697632
6,0.6770833730697632
7,0.7395833730697632
8,0.6399999856948853
9,0.6041666865348816
10,0.5625
11,0.625
12,0.78125
13,0.78125
14,0.84375
15,0.78125
16,0.59375
17,0.7200000286102295
18,0.71875
19,0.6875
20,0.75
21,0.6875
22,0.53125
23,0.65625
24,0.8125
25,0.65625
26,0.800000011920929
27,0.625
28,0.84375
29,0.65625
30,0.5625
31,0.625
32,0.8125
33,0.6875
34,0.78125
35,0.6800000071525574
36,0.75
37,0.65625
38,0.78125
39,0.5625
40,0.78125
41,0.65625
42,0.65625
43,0.625
44,0.8400000333786011
45,0.71875
46,0.84375
47,0.75
48,0.71875
49,0.625
50,0.625
51,0.71875
52,0.6875
53,0.5600000023841858
54,0.71875
55,0.78125
56,0.53125
57,0.75
58,0.65625
59,0.6875
60,0.8125
61,0.65625
62,0.6800000071525574
63,0.6875
64,0.65625
65,0.75
66,0.75
67,0.71875
68,0.59375
69,0.8125
70,0.625
71,0.6800000071525574
72,0.6875
73,0.65625
74,0.8125
75,0.71875
76,0.59375
77,0.65625
78,0.8125
79,0.71875
80,0.6000000238418579
81,0.75
82,0.53125
83,0.75
84,0.78125
85,0.65625
86,0.625
87,0.8125
88,0.75
89,0.6000000238418579
