Step,Value
0,0.40625
1,0.25
2,0.3125
3,0.21875
4,0.34375
5,0.4270833432674408
6,0.3854166865348816
7,0.4479166865348816
8,0.4933333396911621
9,0.4791666865348816
10,0.6770833730697632
11,0.7395833730697632
12,0.6770833730697632
13,0.6145833730697632
14,0.7291666865348816
15,0.5729166865348816
16,0.78125
17,0.6000000238418579
18,0.65625
19,0.5729166865348816
20,0.71875
21,0.71875
22,0.625
23,0.78125
24,0.71875
25,0.75
26,0.7599999904632568
27,0.625
28,0.75
29,0.6875
30,0.78125
31,0.71875
32,0.6875
33,0.6875
34,0.78125
35,0.5200000405311584
36,0.6875
37,0.71875
38,0.75
39,0.6875
40,0.59375
41,0.8125
42,0.6875
43,0.75
44,0.5600000023841858
45,0.8125
46,0.625
47,0.65625
48,0.65625
49,0.71875
50,0.71875
51,0.65625
52,0.6875
53,0.7599999904632568
54,0.59375
55,0.875
56,0.78125
57,0.75
58,0.625
59,0.53125
60,0.71875
61,0.625
62,0.800000011920929
63,0.9375
64,0.65625
65,0.65625
66,0.71875
67,0.65625
68,0.71875
69,0.65625
70,0.65625
71,0.6000000238418579
72,0.71875
73,0.625
74,0.75
75,0.78125
76,0.625
77,0.75
78,0.5625
79,0.75
80,0.7200000286102295
81,0.75
82,0.5625
83,0.6875
84,0.65625
85,0.6875
86,0.71875
87,0.75
88,0.71875
89,0.7599999904632568
