Step,Value
0,0.6875
1,0.5416666865348816
2,0.5208333730697632
3,0.6041666865348816
4,0.5416666865348816
5,0.78125
6,0.5833333730697632
7,0.6979166865348816
8,0.6399999856948853
9,0.5625
10,0.6979166865348816
11,0.7395833730697632
12,0.625
13,0.59375
14,0.75
15,0.78125
16,0.71875
17,0.746666669845581
18,0.71875
19,0.6875
20,0.7395833730697632
21,0.65625
22,0.8125
23,0.75
24,0.5625
25,0.71875
26,0.6399999856948853
27,0.71875
28,0.65625
29,0.59375
30,0.71875
31,0.5625
32,0.78125
33,0.75
34,0.78125
35,0.7599999904632568
36,0.625
37,0.6875
38,0.78125
39,0.65625
40,0.625
41,0.75
42,0.71875
43,0.75
44,0.7200000286102295
45,0.65625
46,0.71875
47,0.625
48,0.625
49,0.75
50,0.78125
51,0.6875
52,0.59375
53,0.9200000166893005
54,0.71875
55,0.625
56,0.65625
57,0.78125
58,0.78125
59,0.6875
60,0.71875
61,0.78125
62,0.5200000405311584
63,0.65625
64,0.75
65,0.78125
66,0.625
67,0.71875
68,0.65625
69,0.75
70,0.75
71,0.6000000238418579
72,0.65625
73,0.75
74,0.6875
75,0.625
76,0.65625
77,0.71875
78,0.65625
79,0.8125
80,0.7599999904632568
81,0.5625
82,0.46875
83,0.65625
84,0.8125
85,0.78125
86,0.78125
87,0.6875
88,0.8125
89,0.7599999904632568
