Step,Value
0,0.28125
1,0.2708333432674408
2,0.3229166865348816
3,0.4166666865348816
4,0.4479166865348816
5,0.46875
6,0.53125
7,0.4791666865348816
8,0.5138888955116272
9,0.7083333730697632
10,0.6979166865348816
11,0.65625
12,0.6875
13,0.7604166865348816
14,0.71875
15,0.5625
16,0.6354166865348816
17,0.7083333134651184
18,0.59375
19,0.90625
20,0.65625
21,0.625
22,0.71875
23,0.6875
24,0.6875
25,0.625
26,0.7916666865348816
27,0.75
28,0.65625
29,0.84375
30,0.53125
31,0.625
32,0.75
33,0.75
34,0.78125
35,0.5416666865348816
36,0.5625
37,0.75
38,0.75
39,0.78125
40,0.71875
41,0.65625
42,0.59375
43,0.8125
44,0.625
45,0.75
46,0.6875
47,0.71875
48,0.6875
49,0.6875
50,0.71875
51,0.5625
52,0.625
53,0.875
54,0.625
55,0.6875
56,0.6875
57,0.6875
58,0.75
59,0.65625
60,0.6875
61,0.8125
62,0.6666666865348816
63,0.625
64,0.78125
65,0.71875
66,0.8125
67,0.59375
68,0.59375
69,0.75
70,0.6875
71,0.7083333134651184
72,0.71875
73,0.71875
74,0.6875
75,0.8125
76,0.65625
77,0.75
78,0.625
79,0.65625
80,0.625
81,0.65625
82,0.75
83,0.78125
84,0.65625
85,0.75
86,0.65625
87,0.6875
88,0.59375
89,0.75
