Step,Value
0,0.625
1,0.5520833730697632
2,0.5833333730697632
3,0.5625
4,0.5104166865348816
5,0.6666666865348816
6,0.6875
7,0.7604166865348816
8,0.7866666913032532
9,0.75
10,0.78125
11,0.78125
12,0.6458333730697632
13,0.75
14,0.59375
15,0.71875
16,0.65625
17,0.6000000238418579
18,0.65625
19,0.625
20,0.8125
21,0.625
22,0.71875
23,0.71875
24,0.6875
25,0.75
26,0.7200000286102295
27,0.71875
28,0.65625
29,0.84375
30,0.65625
31,0.71875
32,0.6875
33,0.71875
34,0.59375
35,0.7200000286102295
36,0.625
37,0.71875
38,0.6875
39,0.75
40,0.75
41,0.625
42,0.75
43,0.625
44,0.800000011920929
45,0.71875
46,0.65625
47,0.6875
48,0.625
49,0.78125
50,0.75
51,0.71875
52,0.625
53,0.7599999904632568
54,0.78125
55,0.78125
56,0.6875
57,0.6875
58,0.65625
59,0.6875
60,0.625
61,0.625
62,0.800000011920929
63,0.65625
64,0.71875
65,0.5625
66,0.6875
67,0.65625
68,0.71875
69,0.71875
70,0.90625
71,0.6800000071525574
72,0.75
73,0.75
74,0.8125
75,0.625
76,0.625
77,0.65625
78,0.78125
79,0.5625
80,0.7599999904632568
81,0.6875
82,0.8125
83,0.71875
84,0.71875
85,0.625
86,0.78125
87,0.6875
88,0.59375
89,0.6800000071525574
