Step,Value
0,0.5
1,0.53125
2,0.65625
3,0.5833333730697632
4,0.6770833730697632
5,0.6145833730697632
6,0.75
7,0.6875
8,0.5555555820465088
9,0.6875
10,0.65625
11,0.6666666865348816
12,0.7395833730697632
13,0.75
14,0.65625
15,0.78125
16,0.6875
17,0.6666666865348816
18,0.75
19,0.625
20,0.6875
21,0.78125
22,0.71875
23,0.59375
24,0.75
25,0.6875
26,0.7083333134651184
27,0.625
28,0.6875
29,0.75
30,0.6875
31,0.53125
32,0.71875
33,0.78125
34,0.78125
35,0.75
36,0.6875
37,0.71875
38,0.65625
39,0.65625
40,0.78125
41,0.75
42,0.8125
43,0.59375
44,0.625
45,0.65625
46,0.625
47,0.65625
48,0.78125
49,0.625
50,0.75
51,0.75
52,0.75
53,0.7083333134651184
54,0.65625
55,0.625
56,0.8125
57,0.71875
58,0.78125
59,0.71875
60,0.65625
61,0.53125
62,0.8333333134651184
63,0.6875
64,0.59375
65,0.65625
66,0.8125
67,0.625
68,0.84375
69,0.6875
70,0.65625
71,0.75
72,0.75
73,0.8125
74,0.65625
75,0.84375
76,0.65625
77,0.65625
78,0.75
79,0.5
80,0.6666666865348816
81,0.625
82,0.6875
83,0.625
84,0.71875
85,0.71875
86,0.71875
87,0.78125
88,0.6875
89,0.75
